formula,target
H6 Li2 Pt1,0
H14 Co0.93 Cu0.07 O11 S1,1
Fe0.18 La0.21 O3 Pb0.79 Ti0.82,1
Dy1 Hg1,0
Nb12 O33 W1,0
Ca0.97 Li0.03 O3 Ta0.03 Zr0.97,1
Cu1 P1 Sr1,0
Ca1 Fe1 O12 P3 Sn1,1
Au3.5 Cl23 Cs8 In1.5,1
H3 B3 O6,0
Cu2.55 Dy1 Mo0.45 O7.44 Sr2,1
As1 Mn1 Nd0.9 O1 Sr0.1,1
Pd3 Y1,0
Bi4 Mn5 Rh2,1
Cs0.1 Na0.9 O12 P3 Zr2,1
H12 N6 Ni1 O4,0
H1 Al0.939 Fe0.061 O2,1
As1 Cu0.98 Mn0.96,1
Cu3.8 In1.2 Tb1,1
Co1 Cs1 F3,0
Dy3.03 Mg6.97 Ru1,1
Al1.088 Ba0.048 K0.826 Na0.086 O8 Si2.912 Sr0.04,1
Co0.91 La1.67 Mn0.97 O6 Pb0.33 Pt0.12,1
Al11.04 K11 O48 Si12.96,1
Co1 In8 Nd2,0
Ag1 I1 In2 Te3,1
O3 Pb1 Ti0.091 Zr0.909,1
Eu1 P1 Pt1,1
As4 Ni8 Pd3,0
Ba2 Cu2.68 Ni0.32 O6.98 Y1,1
In0.62 Sn0.086 Te1,1
B4 Er1 Rh2 Ru2,1
Ba3 Fe10.168 O20 Ti0.832,1
Cu0.85 Sn0.15,1
Al7 Ce1 Fe2 Mg1,0
Hg1 Sn1 Sr1,0
H6 O5 Sr1 Zn1,0
Cu1.8 Se1,1
H12 Cs2 O14 Se2 Zn1,0
Co0.05 Mn0.365 Ni0.45 Sn0.135,1
Ba1 Hg6,0
B6 La3 Na1 O18 Sr4,1
B2 Ba1 Rh2,0
Ba0.196 Ca2.346 Cu3 O9 Pb0.5 Sr1.43 Tl0.528,1
Ge1 Rh1 Tb1,0
Cl6 Rb1 Sb1,0
Cu0.5 Fe1.5 S4 Sn1,1
Li1 O7 P2 Rb1 Zn1,1
Ir1 Ti3,0
La0.875 Mn0.96 O3.024 Sr0.125,1
Br11 Cs1 Nb4,0
Ba1 Co1 O2.6,1
Dy1 Ge6 Mn6,0
H6 F2 K2 O6 Te1,0
C4 Cs2 N4 Zn1,0
Ag1.19 Eu2 Ge2.81,1
Fe16.32 Nd2 Ti0.68,1
As1 Ho1 Pt1,0
Ca1.89 Ce0.029 F1 Na1.08 O4 Si1,1
La0.18 Mn1 O3 Pr0.42 Sr0.4,1
C1 Pb1 Y3,0
Ba8 Cl34 Eu7,0
O1 P1 Pr1 Zn1,0
As0.5 Mo1 P1.5,1
Bi0.8 Fe0.8 O3 Sr0.2 Ti0.2,1
Al12 Re1,0
Eu0.15 Gd1.85 S3,1
B1 Pd3 Tb1,0
Li0.5 O22 V9,1
K4 O4 Sn1,0
Rb8 Sn42.8 Tl1.7,1
H4 Al0.17 Ca2.05 Fe1.88 Mg0.89 Mn3.01 Na0.21 O26 P6 Zn0.05,1
La2 Sb12 Ti7,1
In4 Rh2 Zr5,0
Li1 O12 P3 Sn1.8 Ti0.2,1
Cr1.992 Fe0.024 Mg0.984 O4,1
Be2 Na2 O9 Si3,0
C239.4 H239.4 Al56 Na56 O384 Si136,1
Ba6 Cu4 Eu2 Si42,1
Re3 Si5 Tb2,0
Co0.08 Fe0.92 S1,1
Dy1 Tl1 Zn1,0
Ho1 Mo6 Se8,0
C1 Al1 Dy3,0
B1 Li2 Pt3,0
Bi0.5 Nb3 Te4,1
La1 O3 Rh1,0
As1 S1,0
As2 Cu1 O4,0
Ba0.09 Cr0.092 Ga4.507 Ge0.8 La2.91 O14 Sc0.484 Sn0.088,1
O7 Sn2 Tm2,0
As2 Ba1 Hg1 O7,0
Ca2 Li1 O10 Ta3,1
O2.33 U0.67 Zr0.33,1
Gd1 Mn0.333 Si1 Ti0.667,0
Bi3.11 Nb0.71 O7.01 W0.18,1
B1 Er3 Si4.03,1
Nb2 Nd1 O7 Rb1,0
Co1 N4 Na2 O12,0
Ag0.075 Cu2 Se4 Sn0.925 Zn1,1
As2 Ni4 Sc1,0
Ga5.27 Ru2.73 Sm2,1
Lu6 Zn23,0
Cu1 Eu1 F1 Te1,0
As2 F12 N4 O2 S5,1
Ca1 Mn0.88 Mo0.12 O3,1
Co3 Fe1 Nb2,1
Ba0.63 Fe0.32 K1.07 Na1.3 Nb0.12 O14 Si4 Ti1.44 Zr0.12,1
B5.63 Ce0.75 La0.25,1
H9 B2 Li2 N1,0
C1 B1 Lu1 Ni1,0
In2 O7 Se2,0
Au1 Na5 Se12,0
In3 Tb1,0
C25 H34 B4 Co2 Mo2 O5 S1,0
Li1 Se2 Y1,0
Cu1 Ho2 O6 Ti1,1
C6 H48 Co3 Cr1 N30 O33,0
Li2 Nd1 Sb2,0
Hf1 O3 Sr1,0
Ba0.93 Ca2 Eu0.07 In6 O12,1
Pt2 Si2 U1,0
Cu9 Ga46 V11,1
Mg0.231 Nb0.469 O3 Pb1 Ti0.3,1
Ce4 N2 Te3,0
Co5 Si3 U1,0
Nd1 O12 P4 Rb1,1
Co0.4 Fe0.6 Ni2 S4,1
Nb0.5 Ni1 O6 V1.5,1
As4 Co1 F18,0
Co1.5 Fe1.5 La1 O10.1 Sr3,1
Fe3 Hg1 S8 Sn2,1
Pb2 Pd3 Se2,0
Cu0.51 Ga2.49 Ti1,1
P0.2 S2 V1,1
C15 H42 Br9 N9 Sb2,0
Ba2 Cu3 Gd0.85 O7,1
Ga2.14 O3.21,1
Co4 Si14 Tm5,0
B1 K2 Li3 O14 P4,0
Ge1 K4 P4 S12,0
C1 Pr1 Rh3,0
K2 Te3 U1,0
Na0.88 Ni1.02 O28 P7 Sr9.04,1
Mo1 Ni3,0
Eu3 Ir1 O7,0
Ba1 Bi2 Nb2 O12 Sr1 Ti1,1
Ba1 Cl1 O4 Re1,0
Na4 Si2 Te5,0
Al1 Mo4 O16 Rb5,1
Cl9 Mo2 Rb3,0
O1 Pd1,0
Ca5 P6 Pd6,0
Na0.05 Nd0.05 O3 Sr0.9 Ti1,1
K0.52 Na0.48 O5 P1 Ti1,1
Ag2.18 La1 Mg1.82,1
I12 Rh1 Tb7,0
C4 H16 Mo8 N1 O30.5 S4,1
O7 Pr4 S3 Si2,0
Bi0.8 Fe0.9 Nb0.1 O3 Sr0.2,1
In1 N1,0
Cr2 Fe10 Tb1,1
Co0.8 Rh0.2,1
Ge0.46 Ru1.54 Sm1,1
Sm1 Te2 Tl1,0
Pd1 Y3,0
In1 S6 Sc3,0
As2 F12 I4,0
H5 In1 N1 O5 P1,0
Li2 O4 Si1 Sr1,0
Ho1.4 Nd0.6 O7 Zr2,1
Cd6 Sb5,1
La3 O10 Os2,0
Ca0.1 Ni3 Y0.9,1
Ca2 Fe1 Mn1 O5,0
Ba0.2 Bi0.8 F0.2 Fe1 O2.8,1
Al2.06 Be2 Cs0.74 F2 K0.14 Na6.1 O39 Rb0.02 Si15.64 Zn0.3,1
Cd1 Pt1 Sr1,0
Bi1 Fe13 Nd6,0
C0.06 Fe0.94,1
Ba0.98 Gd0.204 O2.92 Zr0.816,1
Cu7 In3,0
Na1.17 Sn2,1
O1.90111 Y0.19822 Zr0.80189,1
Ca1 Ru1 Si1,0
Fe2 Pr0.5 Y0.5,1
Cl12 Co1 Sc7,0
Ce0.23 Cu1 In0.77 Se2,1
C0.47 H0.18 Ti1,1
Ba1 Lu2 S4,0
H1.8 F0.2 Fe4.46 K0.67 Li0.28 Mn0.2 Na2.22 O23.8 Si8 Ti0.06,1
Fe0.77 Se0.54 Te0.46,1
Ag1 Cs1 F6 Sc1,1
B4 Pu1,0
Ba2 O7 V2,0
Hg7 Rb2,0
